,type_name,time,temp,wet,Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,lat,lon,batt_v
333,TEMP+IMUx3,533.0,16.8046875,1.0,0.01904296875,0.9384765625,0.091796875,-0.15,-0.15,-0.15,20.8282470703125,-12.9241943359375,3.0059814453125,,,3.912
334,TEMP+IMUx3,534.0,16.8203125,1.0,0.070556640625,1.134033203125,0.09619140625,-0.15,-0.15,-0.15,-4.41741943359375,14.45770263671875,7.2021484375,,,3.912
335,TEMP+IMUx3,535.0,16.7734375,1.0,0.030517578125,0.979248046875,0.200439453125,-0.15,-0.15,-0.15,13.0462646484375,21.26312255859375,-24.993896484375,,,3.912
337,TEMP+IMUx3,536.0,16.8125,1.0,0.08837890625,1.0146484375,0.2041015625,-0.15,-0.15,-0.15,-16.71600341796875,9.979248046875,8.64410400390625,,,3.912
338,TEMP+IMUx3,537.0,16.765625,1.0,0.136962890625,1.10986328125,-0.0986328125,-0.15,-0.15,-0.15,-22.13287353515625,3.997802734375,0.9002685546875,,,3.912
339,TEMP+IMUx3,538.0,16.8203125,1.0,0.0693359375,1.007568359375,-0.124267578125,-0.15,-0.15,-0.15,1.41143798828125,1.678466796875,-11.2457275390625,,,3.912
340,TEMP+IMUx3,539.0,16.796875,1.0,0.04052734375,0.78759765625,0.036865234375,-8.549999999999999,37.65,-44.699999999999996,4.60052490234375,5.7373046875,-25.5889892578125,,,3.912
341,TEMP+IMUx3,540.0,16.8203125,1.0,0.06982421875,1.010498046875,-0.058837890625,-0.15,-0.15,-0.15,5.401611328125,-6.6070556640625,0.18310546875,,,3.912
342,TEMP+IMUx3,541.0,16.8125,1.0,0.12353515625,0.973388671875,0.053955078125,-0.15,-0.15,-0.15,-3.68499755859375,-16.265869140625,-0.9765625,,,3.912
343,TEMP+IMUx3,542.0,16.8203125,1.0,0.069091796875,0.825927734375,0.033203125,-0.15,-0.15,-0.15,-19.6990966796875,7.9498291015625,-22.857666015625,,,3.912
344,TEMP+IMUx3,543.0,16.8671875,1.0,0.035400390625,0.96630859375,0.046630859375,-1.95,34.65,-53.25,-17.69256591796875,-11.5814208984375,-25.7568359375,,,3.912
299,TEMP+IMUx3,544.0,16.859375,1.0,0.0791015625,1.053955078125,0.077880859375,-7.6499999999999995,35.55,-46.199999999999996,-6.8817138671875,-11.83319091796875,0.579833984375,,,
300,TEMP+IMUx3,545.0,16.859375,1.0,0.152587890625,1.16015625,-0.09033203125,-0.15,-0.15,-0.15,-12.07733154296875,5.19561767578125,0.79345703125,,,
302,TEMP+IMUx3,545.9,16.8203125,1.0,0.02490234375,0.8466796875,0.086181640625,-5.85,36.75,-47.699999999999996,16.85333251953125,-0.7476806640625,-0.11444091796875,,,3.911
303,TEMP+IMUx3,547.0,16.8203125,1.0,0.0439453125,0.926025390625,0.044921875,-0.15,-0.15,-0.15,-7.27081298828125,-8.58306884765625,-8.87298583984375,,,3.911
304,TEMP+IMUx3,548.0,16.8515625,1.0,-0.05029296875,0.9833984375,-0.00439453125,-0.15,-0.15,-0.15,-6.5460205078125,0.29754638671875,6.21795654296875,,,3.911
305,TEMP+IMUx3,549.0,16.8828125,1.0,0.282958984375,1.053466796875,0.1689453125,-0.15,-0.15,-0.15,14.80865478515625,3.19671630859375,-1.03759765625,,,3.911
306,TEMP+IMUx3,550.0,16.875,1.0,0.199951171875,1.03173828125,0.216796875,-0.8999999999999999,38.4,-48.15,14.434814453125,1.4190673828125,7.537841796875,,,3.911
307,TEMP+IMUx3,551.0,16.8828125,1.0,-0.016357421875,0.998291015625,0.094482421875,-0.15,-0.15,-0.15,-23.9105224609375,-9.04083251953125,4.9285888671875,,,3.911
308,TEMP+IMUx3,551.9,16.8828125,1.0,0.189453125,0.9755859375,0.002197265625,-0.15,-0.15,-0.15,7.49969482421875,-8.90350341796875,15.9454345703125,,,3.911
309,TEMP+IMUx3,553.0,16.8671875,1.0,0.000244140625,0.956298828125,0.1220703125,-6.8999999999999995,37.8,-45.9,9.19342041015625,9.68170166015625,-17.6849365234375,,,3.911
310,TEMP+IMUx3,554.0,16.8984375,1.0,0.18505859375,1.046630859375,-0.02001953125,-5.3999999999999995,33.3,-54.15,4.17327880859375,-9.5672607421875,-6.12640380859375,,,3.911
311,TEMP+IMUx3,555.0,16.890625,1.0,-0.00390625,1.0009765625,0.0166015625,-0.15,-0.15,-0.15,-8.46099853515625,1.35040283203125,-13.702392578125,,,3.911
313,TEMP+IMUx3,556.0,16.9296875,1.0,0.032470703125,1.176025390625,-0.058837890625,-12.9,34.199999999999996,-48.9,-30.61676025390625,5.6915283203125,2.2125244140625,,,3.911
314,TEMP+IMUx3,557.0,16.8828125,1.0,0.034912109375,0.86376953125,0.07177734375,-0.15,-0.15,-0.15,2.09808349609375,0.96893310546875,-0.37384033203125,,,3.911
315,TEMP+IMUx3,558.0,16.921875,1.0,0.052001953125,1.05517578125,-0.130615234375,-0.15,-0.15,-0.15,2.34222412109375,14.96124267578125,4.547119140625,,,3.911
316,TEMP+IMUx3,559.0,16.921875,1.0,0.0517578125,0.92919921875,0.14404296875,-0.15,-0.15,-0.15,-11.6119384765625,9.063720703125,-9.1400146484375,,,3.911
317,TEMP+IMUx3,560.0,16.9375,1.0,-0.0107421875,1.214599609375,0.096435546875,-0.15,-0.15,-0.15,3.91387939453125,2.7313232421875,5.95855712890625,,,3.911
318,TEMP+IMUx3,561.0,16.953125,1.0,0.0458984375,1.035400390625,0.081787109375,-0.15,-0.15,-0.15,-0.48828125,4.241943359375,-2.87628173828125,,,3.911
319,TEMP+IMUx3,562.0,16.9296875,1.0,0.04150390625,0.96923828125,-0.033935546875,-12.6,36.15,-46.35,11.31439208984375,2.9449462890625,8.1634521484375,,,3.911
320,TEMP+IMUx3,563.0,16.9765625,1.0,0.052978515625,0.957275390625,0.0810546875,-0.15,-0.15,-0.15,-15.25115966796875,6.23321533203125,-20.111083984375,,,3.911
321,TEMP+IMUx3,564.0,16.9296875,1.0,0.00390625,1.2509765625,0.111572265625,-0.15,-0.15,-0.15,0.335693359375,8.15582275390625,8.85009765625,,,3.911
276,TEMP+IMUx3,565.0,16.9609375,1.0,0.06689453125,1.0341796875,0.03173828125,-10.5,37.05,-44.4,2.4566650390625,9.14764404296875,10.80322265625,,,
278,TEMP+IMUx3,565.9,16.96875,1.0,0.00927734375,1.067138671875,0.0859375,-14.399999999999999,36.449999999999996,-42.449999999999996,0.17547607421875,-2.5482177734375,5.98907470703125,,,3.911
279,TEMP+IMUx3,566.9,16.9765625,1.0,0.138671875,0.94677734375,-0.05419921875,-11.4,38.4,-45.0,-0.61798095703125,-1.617431640625,5.0201416015625,,,3.911
