ride_id,UTC,IMU A2
15693,2018-10-05 22:01:10.653000+00:00,522.0
15693,2018-10-05 22:01:10.785000+00:00,554.0
15693,2018-10-05 22:01:10.917000+00:00,567.0
15693,2018-10-05 22:01:11.049000+00:00,502.0
15693,2018-10-05 22:01:11.181000+00:00,428.0
15693,2018-10-05 22:01:11.313000+00:00,418.0
15693,2018-10-05 22:01:11.445000+00:00,404.0
15693,2018-10-05 22:01:11.577000+00:00,457.0
15693,2018-10-05 22:01:11.709000+00:00,448.0
15693,2018-10-05 22:01:11.841000+00:00,516.0
15693,2018-10-05 22:01:11.973000+00:00,472.0
15693,2018-10-05 22:01:12.105000+00:00,472.0
15693,2018-10-05 22:01:12.237000+00:00,414.0
15693,2018-10-05 22:01:12.369000+00:00,507.0
15693,2018-10-05 22:01:12.501000+00:00,498.0
15693,2018-10-05 22:01:12.633000+00:00,499.0
15693,2018-10-05 22:01:12.765000+00:00,461.0
15693,2018-10-05 22:01:12.897000+00:00,456.0
15693,2018-10-05 22:01:13.029000+00:00,550.0
15693,2018-10-05 22:01:13.161000+00:00,524.0
15693,2018-10-05 22:01:13.293000+00:00,542.0
15693,2018-10-05 22:01:13.425000+00:00,533.0
15693,2018-10-05 22:01:13.557000+00:00,527.0
15693,2018-10-05 22:01:13.689000+00:00,531.0
15693,2018-10-05 22:01:13.821000+00:00,496.0
15693,2018-10-05 22:01:13.953000+00:00,504.0
15693,2018-10-05 22:01:14.085000+00:00,554.0
15693,2018-10-05 22:01:14.217000+00:00,538.0
15693,2018-10-05 22:01:14.349000+00:00,512.0
15693,2018-10-05 22:01:14.481000+00:00,494.0
15693,2018-10-05 22:01:14.613000+00:00,486.0
15693,2018-10-05 22:01:14.745000+00:00,435.0
15693,2018-10-05 22:01:14.877000+00:00,469.0
15693,2018-10-05 22:01:15.009000+00:00,518.0
15693,2018-10-05 22:01:15.141000+00:00,521.0
15693,2018-10-05 22:01:15.273000+00:00,499.0
15693,2018-10-05 22:01:15.405000+00:00,541.0
15693,2018-10-05 22:01:15.537000+00:00,546.0
15693,2018-10-05 22:01:15.669000+00:00,498.0
15693,2018-10-05 22:01:15.801000+00:00,480.0
15693,2018-10-05 22:01:15.933000+00:00,431.0
15693,2018-10-05 22:01:16.065000+00:00,523.0
15693,2018-10-05 22:01:16.197000+00:00,515.0
15693,2018-10-05 22:01:16.329000+00:00,508.0
15693,2018-10-05 22:01:16.461000+00:00,501.0
15693,2018-10-05 22:01:16.593000+00:00,521.0
15693,2018-10-05 22:01:16.725000+00:00,528.0
15693,2018-10-05 22:01:16.857000+00:00,525.0
15693,2018-10-05 22:01:16.989000+00:00,543.0
15693,2018-10-05 22:01:17.121000+00:00,505.0
15693,2018-10-05 22:01:17.253000+00:00,490.0
15693,2018-10-05 22:01:17.385000+00:00,450.0
15693,2018-10-05 22:01:17.517000+00:00,444.0
15693,2018-10-05 22:01:17.649000+00:00,480.0
15693,2018-10-05 22:01:17.781000+00:00,469.0
